Arabic: ar
Assamese: as
Bengali: bn
Bhojpuri: bh
Czech: cs
Danish: da
English: en
Finnish: fi
French: fr
German: de
Greek: el
Gujarati: gu
Hindi: hi
Italian: it
Japanese: ja
Kannada: kn
Konkani: kok
Korean: ko
Malay: ms
Malayalam: ml
Mandarin (Chinese): zh-CN
Marathi: mr
Nepali: ne
Norwegian: no
Odia (Oriya): or
Polish: pl
Portuguese: pt
Punjabi: pa
Rajasthani: raj
Romanian: ro
Russian: ru
Sanskrit: sa
Sindhi: sd
Spanish: es
Swahili: sw
Swedish: sv
Tamil: ta
Telugu: te
Thai: th
Turkish: tr
Urdu: ur
Ukrainian: uk
Vietnamese: vi
